Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2007-07-11 05:59:28,1184104768.0,ctas,33.538876,-33.02,122.084023,-15.9,6350000000.0,7080000000.0,19.13,17.79,1.49,1.74,3.09,1.94,9.904,9.3,15.92,10.58,16.01,3650000000.0,22.561,8.2,1450000000.0,714370000.0,339540000.0,2.09,0.2,157490000.0,0.993,883520000.0,0.43,1.662,12.961,473040000.0,293610000.0,1.65,39.09,39.3,1064470.0,158650000.0,135580000.0,17.81,64.7,4970000.0,4.2,3.7,4490000.0
2006-02-28 20:38:59,1141130339.0,ctas,34.026257,-0.79,100.297188,11.94,6910000000.0,7160000000.0,22.55,18.79,1.39,2.16,3.21,2.22,11.227,9.67,15.99,10.54,14.79,3220000000.0,18.948,10.4,1300000000.0,637850000.0,311800000.0,1.83,6.0,255930000.0,1.523,466140000.0,0.216,3.17,12.873,423750000.0,268770000.0,N/A,41.11,41.44,940276.0,168020000.0,140190000.0,16.59,66.2,3460000.0,3.4,2.5,4600000.0
2005-04-20 15:38:44,1113982724.0,ctas,31.885536,9.65,87.81147,17.27,6750000000.0,7020000000.0,23.35,19.72,1.46,2.31,3.33,2.34,11.63,9.69,15.38,10.04,14.81,3000000000.0,17.35,N/A,1190000000.0,604070000.0,290290000.0,1.68,N/A,367790000.0,2.14,472360000.0,0.227,3.094,12.093,N/A,N/A,0.813,42.57,43.13,1027318.0,172090000.0,122500000.0,28.82,65.87,6170000.0,6.479,5.04,6360000.0
2005-02-22 13:02:43,1109048563.0,ctas,35.317966,-4.1,91.157219,10.92,7550000000.0,7670000000.0,26.61,21.78,1.57,2.57,3.68,2.61,12.89,9.72,15.42,10.12,15.01,2940000000.0,17.015,N/A,1190000000.0,595280000.0,285450000.0,1.65,N/A,356160000.0,2.07,475330000.0,0.231,3.445,11.97,N/A,N/A,1.123,44.13,43.75,994136.0,171720000.0,122200000.0,28.84,63.2,5420000.0,4.74,4.44,4640000.0
2013-04-26 17:42:40,1366969360.0,ctas,41.474506,30.78,143.779022,20.1,5480000000.0,6550000000.0,18.46,16.09,1.75,1.3,2.59,1.55,8.91,7.26,13.06,8.17,14.24,4240000000.0,33.78,6.3,1740000000.0,735160000.0,305370000.0,2.42,-1.7,245690000.0,2.01,1310000000.0,61.46,3.01,17.36,530490000.0,407470000.0,0.81,44.39,42.7,580981.0,122520000.0,102370000.0,16.36,74.6,5060000.0,8.0,5.6,5860000.0
2006-10-23 13:27:49,1161581269.0,ctas,34.183594,-12.08,108.906029,12.46,6630000000.0,7360000000.0,20.6,16.72,1.24,1.9,3.23,2.11,10.701,9.55,16.04,10.86,16.11,3490000000.0,21.062,11.0,1450000000.0,687760000.0,333720000.0,2.01,8.3,174890000.0,1.089,856920000.0,0.418,1.933,12.775,470860000.0,654260000.0,1.89,39.91,39.51,803655.0,160560000.0,133970000.0,14.54,64.0,3970000.0,5.6,2.9,4220000.0
2004-10-26 07:45:57,1098747957.0,ctas,34.682678,-5.18,85.075638,9.17,7140000000.0,7360000000.0,25.47,20.28,1.47,2.49,3.65,2.55,12.49,9.77,15.5,10.27,15.36,2880000000.0,16.704,N/A,1190000000.0,588910000.0,281540000.0,1.632,N/A,263980000.00000003,1.54,484740000.0,0.247,3.784,11.465,N/A,N/A,1.149,42.05,43.85,866409.0,171650000.0,122100000.0,28.87,63.2,5000000.0,6.722,4.1,5200000.0
2005-09-06 22:33:10,1126017190.0,ctas,33.462154,-7.47,95.835831,7.41,6860000000.0,6940000000.0,23.41,18.03,1.25,2.21,3.26,2.26,11.294,9.8,16.12,10.53,15.06,3070000000.0,17.866,9.6,1300000000.0,614340000.0,300520000.0,1.74,14.1,309430000.0,1.838,472590000.0,0.225,3.272,12.329,N/A,N/A,N/A,43.13,41.34,893230.0,168320000.0,N/A,26.78,66.2,5570000.0,5.6,4.0,5080000.0
2006-09-05 15:34:29,1157441669.0,ctas,31.392931,-3.79,103.854393,14.3,6110000000.0,6670000000.0,19.58,15.57,1.09,1.8,2.97,1.96,9.893,9.61,16.07,10.54,15.61,3400000000.0,20.265,12.2,1450000000.0,673960000.0,327180000.0,1.94,10.8,241450000.0,1.503,798740000.0,0.383,2.86,12.795,461890000.0,631050000.0,1.87,36.07,39.94,894611.0,160660000.0,134060000.0,17.35,64.2,4220000.0,3.9,3.1,3690000.0
2006-02-19 17:57:09,1140343029.0,vz,17.403154,20.29,100.750832,15.23,96170000000.0,131900000000.0,13.14,13.12,4.53,1.27,2.41,1.76,4.49,9.85,19.37,5.74,19.15,75110000000.0,27.155,5.8,48120000000.0,29380000000.0,7400000000.0,2.65,-45.4,3270000000.0,1.184,39010000000.0,0.983,0.656,14.361,22010000000.0,6780000000.0,N/A,31.9,31.76,14690400.0,2760000000.0,2760000000.0,0.08,56.7,30530000.0,1.8,1.1,29910000.0
